higher-education-establishment,name,address,website
10008640,"FALMOUTH UNIVERSITY","TR11 4RH",www.falmouth.ac.uk
10007774,"UNIVERSITY OF OXFORD","OX1 2JD",www.ox.ac.uk
10007768,"UNIVERSITY OF LANCASTER","LA1 4YW",www.lancs.ac.uk
10000571,"BATH SPA UNIVERSITY","BA2 9BN",www.bathspa.ac.uk
10007814,"CARDIFF UNIVERSITY","CF10 3AT",www.cardiff.ac.uk
10007158,"UNIVERSITY OF SOUTHAMPTON","SO17 1BJ",www.soton.ac.uk
10007779,"THE ROYAL VETERINARY COLLEGE","NW1 0TU",www.rvc.ac.uk
10007851,"UNIVERSITY OF DERBY","DE22 1GB",www.derby.ac.uk
10000824,"BOURNEMOUTH UNIVERSITY","BH12 5BB",www.bournemouth.ac.uk
10007162,"UNIVERSITY OF THE ARTS, LONDON","WC1V 7EY",www.arts.ac.uk
10007804,"UNIVERSITY OF STIRLING","FK9 4LA",www.stir.ac.uk
10007823,"EDGE HILL UNIVERSITY","L39 4QP",www.edgehill.ac.uk
10007160,"UNIVERSITY OF SURREY","GU2 7XH",www.surrey.ac.uk
10007791,"UNIVERSITY OF ESSEX","CO4 3SQ",www.essex.ac.uk
10003945,"THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS","L1 9HF",www.lipa.ac.uk
10007802,"UNIVERSITY OF READING","RG6 6UR",www.reading.ac.uk
10007806,"UNIVERSITY OF SUSSEX","BN1 9RH",www.sussex.ac.uk
10007152,"UNIVERSITY OF BEDFORDSHIRE","LU1 3JU",www.beds.ac.uk
10007150,"UNIVERSITY OF KENT","CT2 7NZ",www.kent.ac.uk
10007832,"NEWMAN UNIVERSITY","B32 3NT",www.newman.ac.uk
10007788,"UNIVERSITY OF CAMBRIDGE","CB2 1TN",www.cam.ac.uk
10001883,"DE MONTFORT UNIVERSITY","LE1 9BH",www.dmu.ac.uk
10007790,"UNIVERSITY OF EDINBURGH","EH1 1HT",www.ed.ac.uk
10007795,"UNIVERSITY OF LEEDS","LS2 9JT",www.leeds.ac.uk
10008816,"NORTHERN SCHOOL OF CONTEMPORARY DANCE","LS7 4BH",www.nscd.ac.uk
10005343,"QUEEN'S UNIVERSITY OF BELFAST","BT7 1NN",www.qub.ac.uk
10003861,"LEEDS METROPOLITAN UNIVERSITY","LS1 3HE",www.leedsmet.ac.uk
