UKPRN,Region of HE provider,HE provider
,,
,,England
10000291,EAST,Anglia Ruskin University
10007759,WMID,Aston University
10000571,SWES,Bath Spa University
10007850,SWES,The University of Bath
10007152,EAST,University of Bedfordshire
10007760,LOND,Birkbeck College
10007140,WMID,Birmingham City University
10006840,WMID,The University of Birmingham
10000712,WMID,University College Birmingham
10007811,EMID,Bishop Grosseteste University
10006841,NWES,The University of Bolton
10000385,SWES,The Arts University Bournemouth
10000824,SWES,Bournemouth University
10007785,YORH,The University of Bradford
10000886,SEAS,The University of Brighton
10007786,SWES,The University of Bristol
10000961,LOND,Brunel University London
10000975,SEAS,Buckinghamshire New University
10007788,EAST,The University of Cambridge
10003324,LOND,The Institute of Cancer Research
10001143,SEAS,Canterbury Christ Church University
10007141,NWES,The University of Central Lancashire
10007848,NWES,University of Chester
10007137,SEAS,The University of Chichester
10001478,LOND,The City University
10001653,LOND,Conservatoire for Dance and Drama
10007761,LOND,Courtauld Institute of Art
10001726,WMID,Coventry University
10007822,EAST,Cranfield University
10006427,SEAS,University for the Creative Arts
10007842,NWES,University of Cumbria
10001883,EMID,De Montfort University
10007851,EMID,University of Derby
10007143,NEAS,University of Durham
10007789,EAST,The University of East Anglia
10007144,LOND,The University of East London
10007823,NWES,Edge Hill University
10007791,EAST,The University of Essex
10007792,SWES,The University of Exeter
10008640,SWES,Falmouth University
10004511,SEAS,The National Film and Television School†
10007145,SWES,University of Gloucestershire
10002718,LOND,Goldsmiths College
10007146,LOND,The University of Greenwich
10007825,LOND,Guildhall School of Music and Drama
10040812,WMID,Harper Adams University
10007147,EAST,University of Hertfordshire
10007765,LOND,Heythrop College
10007148,YORH,The University of Huddersfield
10007149,YORH,The University of Hull
10003270,LOND,"Imperial College of Science, Technology and Medicine"
10007767,WMID,The University of Keele
10007150,SEAS,The University of Kent
10003645,LOND,King's College London
10003678,LOND,Kingston University
10007768,NWES,The University of Lancaster
10003854,YORH,Leeds College of Art
10003861,YORH,Leeds Beckett University
10007795,YORH,The University of Leeds
10003863,YORH,Leeds Trinity University
10007796,EMID,The University of Leicester
10007151,EMID,The University of Lincoln
10003956,NWES,Liverpool Hope University
10003957,NWES,Liverpool John Moores University
10003945,NWES,The Liverpool Institute for Performing Arts
10006842,NWES,The University of Liverpool
10003958,NWES,Liverpool School of Tropical Medicine†
10007162,LOND,"University of the Arts, London"
10007769,LOND,London Business School
10007797,LOND,University of London (Institutes and activities)
10004048,LOND,London Metropolitan University
10004078,LOND,London South Bank University
10004063,LOND,London School of Economics and Political Science
10007771,LOND,London School of Hygiene and Tropical Medicine
10004113,EMID,Loughborough University
10004180,NWES,The Manchester Metropolitan University
10007798,NWES,The University of Manchester
10004351,LOND,Middlesex University
10007799,NEAS,University of Newcastle-upon-Tyne
10007832,WMID,Newman University
10007138,EMID,The University of Northampton
10001282,NEAS,University of Northumbria at Newcastle
10004775,EAST,Norwich University of the Arts
10007154,EMID,University of Nottingham
10004797,EMID,The Nottingham Trent University
10007773,SEAS,The Open University
10004930,SEAS,Oxford Brookes University
10007774,SEAS,The University of Oxford
10005127,SWES,Plymouth College of Art†
10007801,SWES,University of Plymouth
10007155,SEAS,The University of Portsmouth
10007775,LOND,Queen Mary University of London
10005389,LOND,Ravensbourne
10007802,SEAS,The University of Reading
10007776,LOND,Roehampton University
10005523,LOND,Rose Bruford College
10007835,LOND,Royal Academy of Music
10005545,SWES,Royal Agricultural University
10007777,LOND,Royal College of Art
10007778,LOND,Royal College of Music
10007816,LOND,The Royal Central School of Speech and Drama†
10005553,SEAS,Royal Holloway and Bedford New College
10007837,NWES,Royal Northern College of Music
10007779,LOND,The Royal Veterinary College
10007782,LOND,St George's Hospital Medical School
10007843,LOND,"St Mary's University, Twickenham"
10007156,NWES,The University of Salford
10007780,LOND,The School of Oriental and African Studies
10005790,YORH,Sheffield Hallam University
10007157,YORH,The University of Sheffield
10006022,SEAS,Southampton Solent University
10007158,SEAS,The University of Southampton
10006299,WMID,Staffordshire University
10037449,SWES,University of St Mark and St John
10014001,EAST,University Campus Suffolk
10007159,NEAS,The University of Sunderland
10007160,SEAS,The University of Surrey
10007806,SEAS,The University of Sussex
10007161,NEAS,Teesside University
10008017,LOND,Trinity Laban Conservatoire of Music and Dance
10007784,LOND,University College London†
10007163,WMID,The University of Warwick
10007164,SWES,"University of the West of England, Bristol"
10006566,LOND,The University of West London
10007165,LOND,The University of Westminster
10003614,SEAS,The University of Winchester
10007166,WMID,The University of Wolverhampton
10007139,WMID,University of Worcester
10007657,EAST,Writtle College
10007713,YORH,York St John University
10007167,YORH,The University of York
,,
,,Wales
10007856,WALE,Aberystwyth University
10007857,WALE,Bangor University
10007814,WALE,Cardiff University
10007854,WALE,Cardiff Metropolitan University
10007833,WALE,Glyndŵr University
10007855,WALE,Swansea University
10007858,WALE,University of Wales Trinity Saint David
10007793,WALE,University of South Wales
,,
,,Scotland
10007783,SCOT,The University of Aberdeen
10007849,SCOT,University of Abertay Dundee
10007852,SCOT,The University of Dundee
10007772,SCOT,Edinburgh Napier University
10007790,SCOT,The University of Edinburgh
10007762,SCOT,Glasgow Caledonian University
10002681,SCOT,Glasgow School of Art
10007794,SCOT,The University of Glasgow
10007764,SCOT,Heriot-Watt University
10005337,SCOT,"Queen Margaret University, Edinburgh"
10005500,SCOT,The Robert Gordon University
10007803,SCOT,The University of St Andrews
10005700,SCOT,SRUC
10007804,SCOT,The University of Stirling
10007805,SCOT,The University of Strathclyde
10007114,SCOT,University of the Highlands and Islands
10007800,SCOT,The University of the West of Scotland
,,
,,Northern Ireland
10005343,NIRE,The Queen's University of Belfast
10008026,NIRE,St Mary's University College
10008010,NIRE,Stranmillis University College
10007807,NIRE,University of Ulster
