"ID","Group Name","Homepage","Wikipedia","Members List"
"GW4","GW4","http://gw4.ac.uk","","http://gw4.ac.uk"
"1994_Group","1994 Group","http://www.1994group.ac.uk/","http://en.wikipedia.org/wiki/1994_Group","http://www.1994group.ac.uk/memberinstitutions"
"M5_Universities","M5 Universities","http://www.m5universities.ac.uk","","http://www.m5universities.ac.uk"
"White_Rose_University_Consortium","White Rose University Consortium","http://www.whiterose.ac.uk/","http://en.wikipedia.org/wiki/White_Rose_University_Consortium","http://www.whiterose.ac.uk/"
"Oxbridge","Oxbridge","","http://en.wikipedia.org/wiki/Oxbridge",""
"Million_Plus","Million+","http://www.millionplus.ac.uk/","http://en.wikipedia.org/wiki/Million%2B","http://www.millionplus.ac.uk/who-we-are/members"
"N8_Research_Partnership","N8 Research Parnership","http://www.n8research.org.uk/","http://en.wikipedia.org/wiki/N8_Research_Partnership","http://www.n8research.org.uk/"
"ABSA","Aberystwyth Bangor Strategic Alliance","http://www.aberbangorpartnership.ac.uk/","","http://www.aberbangorpartnership.ac.uk/"
"Science_and_Engineering_South","Science and Engineering South (SES)","http://www.ses.ac.uk","https://en.wikipedia.org/wiki/SES_(universities)","http://www.ses.ac.uk/ses/"
"University_Alliance","University Alliance","http://www.unialliance.ac.uk/","http://en.wikipedia.org/wiki/University_Alliance","http://www.unialliance.ac.uk/"
"Russell_Group","Russell Group","http://www.russellgroup.ac.uk/","http://en.wikipedia.org/wiki/Russell_Group","http://www.russellgroup.ac.uk/our-universities/"
"NCUK","The Northern Consortium (NCUK)","http://www.ncuk.ac.uk/universities/uk","http://en.wikipedia.org/wiki/NCUK","http://www.ncuk.ac.uk/universities/uk"
"Cathedrals_Group","Cathedrals Group (CCUC)","http://cathedralsgroup.org.uk/","http://en.wikipedia.org/wiki/Cathedrals_Group","http://cathedralsgroup.org.uk/Members.aspx"
