website,name
http://www.anglia.ac.uk/,Anglia Ruskin University
http://www.aston.ac.uk/,Aston University
http://www.bangor.ac.uk/,Bangor University
http://www.bathspa.ac.uk/,Bath Spa University
http://www.bbk.ac.uk/,Birkbeck College
http://www.bcu.ac.uk/,Birmingham City University
http://www.bishopg.ac.uk/,Bishop Grosseteste University College Lincoln
http://www.bournemouth.ac.uk/,Bournemouth University
http://www.brunel.ac.uk/,Brunel University
http://www.bucks.ac.uk/,Buckinghamshire New University
http://www.canterbury.ac.uk/,Canterbury Christ Church University
http://www.cardiffmet.ac.uk/,Cardiff Metropolitan University
http://www.cardiff.ac.uk/,Cardiff University
http://www.cssd.ac.uk/,Central School of Speech and Drama(The)
http://www.courtauld.ac.uk/,Courtauld Institute of Art
http://www.coventry.ac.uk/,Coventry University
http://www.cranfield.ac.uk/,Cranfield University
http://www.dmu.ac.uk/,De Montfort University
http://www.edgehill.ac.uk/,Edge Hill University
http://www.napier.ac.uk/,Edinburgh Napier University
http://www.gcu.ac.uk/,Glasgow Caledonian University
http://www.gsa.ac.uk/,Glasgow School of Art
http://www.glyndwr.ac.uk/,Glyndwr University
http://www.gold.ac.uk/,Goldsmiths' College
http://www.gsmd.ac.uk/,Guildhall School of Music and Drama
http://www.harper-adams.ac.uk/,Harper Adams University
http://www.hw.ac.uk/,Heriot-Watt University
http://www.heythrop.ac.uk/,Heythrop College
http://www.imperial.ac.uk/,"Imperial College of Science, Technology and Medicine"
http://www.icr.ac.uk/,Institute of Cancer Research: Royal Cancer Hospital (The)
http://www.ioe.ac.uk/,"Institute of Education, University of London"
http://www.kcl.ac.uk/,King's College London
http://www.kingston.ac.uk/,Kingston University
http://www.leeds-art.ac.uk/,Leeds College of Art
http://www.lcm.ac.uk/,Leeds College of Music
http://www.leedsmet.ac.uk/,Leeds Metropolitan University
http://www.leedstrinity.ac.uk/,Leeds Trinity University College
http://www.hope.ac.uk/,Liverpool Hope University
http://www.ljmu.ac.uk/,Liverpool John Moores University
http://www.london.edu/,London Business School
http://www.londonmet.ac.uk/,London Metropolitan University
http://www.lse.ac.uk/,London School of Economics & Political Science
http://www.lshtm.ac.uk/,London School of Hygiene and Tropical Medicine
http://www.lsbu.ac.uk/,London South Bank University
